feature,importance
assignments_completed_pct,0.14548188295865278
forum_posts,0.14424796632209888
lectures_watched_pct,0.1142077199731626
weekly_study_hours,0.09181817490445926
missed_deadlines,0.08470912757206893
logins_per_month,0.08192589555017693
messages_to_teacher,0.07366159546847154
progress_consistency,0.060264475660638056
days_since_last_login,0.057170720193224604
video_rewatch_count,0.054379934697866686
avg_quiz_score,0.03738844532780297
mobile_activity_pct,0.027741770235860063
final_exam_score,0.027002291135516623
